Timestamp,Open,High,Low,Close,Volume,Datetime,mid_price,price_diff,log_return,rolling_stdev,sigma,delta_ask,delta_bid,kappa,A
1722820020,55330.0,55372.0,55039.0,55145.0,33.68400886,2024-08-05 01:07:00+00:00,55145.0,-167.0,-0.003023803421158438,155.63784832266373,20.092759819774418,60.0,273.0,0.010078105316200556,0.024722222222222222
1722820080,55176.0,55176.0,54444.0,54599.0,64.20587276,2024-08-05 01:08:00+00:00,54599.0,-546.0,-0.00995051219328791,168.24351466249362,21.72014434650804,31.0,701.0,0.009577015163607342,0.025
1722820140,54642.0,55013.0,54600.0,54770.0,9.65596585,2024-08-05 01:09:00+00:00,54770.0,171.0,0.003127031230807719,170.1195857223021,21.962344078872704,414.0,0.0,0.009390406135065341,0.025
1722820200,54800.0,54800.0,53353.0,53403.0,126.8617663,2024-08-05 01:10:00+00:00,53403.0,-1367.0,-0.025275674632224375,240.0866510241667,30.995053368776983,30.0,1417.0,0.008481764206955046,0.025277777777777777
1722820260,53355.0,53994.0,53353.0,53811.0,7.61513552,2024-08-05 01:11:00+00:00,53811.0,408.0,0.007610983071581115,247.98903007905014,32.01524611794304,591.0,50.0,0.00820456720907972,0.025277777777777777
1722820320,53810.0,53810.0,53334.0,53354.0,25.30172105,2024-08-05 01:12:00+00:00,53354.0,-457.0,-0.008528955728005001,253.0953126554018,32.67446436391768,0.0,477.0,0.007995202878273036,0.025277777777777777
1722820380,53354.0,53410.0,53091.0,53362.0,15.84228334,2024-08-05 01:13:00+00:00,53362.0,8.0,0.00014993065735185667,253.28411059118199,32.69883807262018,56.0,263.0,0.007884362680683312,0.025555555555555557
1722820440,53399.0,53823.0,53355.0,53823.0,58.20515054,2024-08-05 01:14:00+00:00,53823.0,461.0,0.008602002941023344,262.3842418962698,33.87365997238371,461.0,7.0,0.007679508511455267,0.025833333333333333
1722820500,53829.0,54578.0,53829.0,54246.0,46.53049942,2024-08-05 01:15:00+00:00,54246.0,423.0,0.007828371877927223,264.74435969194997,34.178349869642275,755.0,0.0,0.007521153243497336,0.025555555555555557
1722820560,54309.0,54354.0,54070.0,54271.0,2.59890747,2024-08-05 01:16:00+00:00,54271.0,25.0,0.0004607573088509549,263.84930802378994,34.06279919614965,108.0,176.0,0.007491104313627567,0.025555555555555557
1722820620,54236.0,54472.0,54214.0,54303.0,30.2938201,2024-08-05 01:17:00+00:00,54303.0,32.0,0.0005894597403902035,261.0713498596009,33.70416633927081,201.0,57.0,0.0074850299401197605,0.025833333333333333
1722820680,54393.0,54803.0,54315.0,54751.0,15.63794472,2024-08-05 01:18:00+00:00,54751.0,448.0,0.00821615933746713,265.1447190382986,34.23003603900584,500.0,0.0,0.007452953232718464,0.025833333333333333
1722820740,54739.0,54740.0,54368.0,54368.0,8.51098929,2024-08-05 01:19:00+00:00,54368.0,-383.0,-0.007019887880471217,267.98681137967657,34.59694858255719,0.0,383.0,0.007336757153338224,0.025833333333333333
1722820800,54344.0,54741.0,54344.0,54728.0,64.69471956,2024-08-05 01:20:00+00:00,54728.0,360.0,0.0065997159691754655,273.37839248965156,35.29299871084584,373.0,24.0,0.007221520129987362,0.026111111111111113
1722820860,54723.0,54942.0,54695.0,54891.0,30.65776633,2024-08-05 01:21:00+00:00,54891.0,163.0,0.0029739391918416746,274.47045007814904,35.43398273929085,214.0,33.0,0.007155208395444518,0.026111111111111113
1722820920,54870.0,54917.0,54493.0,54540.0,6.03498779,2024-08-05 01:22:00+00:00,54540.0,-351.0,-0.006415023233096166,276.5384986632745,35.70096666360214,26.0,398.0,0.007061731301123993,0.02638888888888889
1722820980,54497.0,54647.0,54439.0,54572.0,3.69142605,2024-08-05 01:23:00+00:00,54572.0,32.0,0.0005865532831853074,276.7013498442856,35.72199066066767,107.0,101.0,0.007037297677691767,0.02666666666666667
1722821040,54521.0,54523.0,53790.0,53939.0,94.22772544,2024-08-05 01:24:00+00:00,53939.0,-633.0,-0.011667152278433297,286.38878398642004,36.97263303066661,0.0,782.0,0.006796556411418215,0.02638888888888889
1722821100,53953.0,53988.0,53328.0,53915.0,43.30565954,2024-08-05 01:25:00+00:00,53915.0,-24.0,-0.00044504608815861777,286.41308716114065,36.9757705570317,49.0,611.0,0.006602475928473177,0.02638888888888889
1722821160,53888.0,53953.0,53631.0,53953.0,14.08350179,2024-08-05 01:26:00+00:00,53953.0,38.0,0.0007045648676524983,286.6761292946182,37.00972915044201,38.0,284.0,0.006523157208088715,0.02638888888888889
1722821220,53974.0,54349.0,53974.0,54264.0,76.85906624,2024-08-05 01:27:00+00:00,54264.0,311.0,0.005747726442090136,289.17798167347695,37.332716903708324,396.0,0.0,0.00645195978278402,0.026111111111111113
1722821280,54263.0,54398.0,54163.0,54355.0,25.34007845,2024-08-05 01:28:00+00:00,54355.0,91.0,0.0016755820121852666,289.7439664629704,37.40578522583882,134.0,101.0,0.006413682522715126,0.02638888888888889
1722821340,54342.0,54358.0,54121.0,54211.0,14.86373585,2024-08-05 01:29:00+00:00,54211.0,-144.0,-0.002652765772819978,289.9865820975346,37.43710676957871,3.0,234.0,0.006378568011481422,0.02666666666666667
1722821400,54211.0,54255.0,53814.0,53870.0,4.00602221,2024-08-05 01:30:00+00:00,53870.0,-341.0,-0.006310103190701367,292.36106604309185,37.74365132881138,44.0,397.0,0.006264355815410316,0.02666666666666667
1722821460,53871.0,54153.0,53863.0,53956.0,4.16180112,2024-08-05 01:31:00+00:00,53956.0,86.0,0.0015951629149909522,292.1539509803801,37.71691288919034,283.0,7.0,0.006226650062266501,0.026944444444444444
1722821520,53935.0,54228.0,53830.0,54228.0,3.62762161,2024-08-05 01:32:00+00:00,54228.0,272.0,0.005028480609709591,295.20532498297706,38.11084357902728,272.0,126.0,0.0061312078479460455,0.02722222222222222
1722821580,54244.0,54752.0,54244.0,54729.0,46.68070051,2024-08-05 01:33:00+00:00,54729.0,501.0,0.0091963532570492,303.12827131439997,39.13369155217715,524.0,0.0,0.006013831813170291,0.026944444444444444
1722821640,54751.0,54757.0,54455.0,54485.0,6.78840481,2024-08-05 01:34:00+00:00,54485.0,-244.0,-0.004468299045342579,303.99550017112716,39.24565031615898,28.0,274.0,0.005971337579617834,0.02722222222222222
1722821700,54483.0,54688.0,54483.0,54618.0,2.55162822,2024-08-05 01:35:00+00:00,54618.0,133.0,0.0024380643223573637,304.83852166972815,39.354483923644864,203.0,2.0,0.005945597780310162,0.02722222222222222
1722821760,54625.0,54964.0,54523.0,54878.0,23.7729855,2024-08-05 01:36:00+00:00,54878.0,260.0,0.0047490408536674245,307.3090473203998,39.673427413692515,346.0,95.0,0.005865676019161208,0.02722222222222222
1722821820,54861.0,54894.0,54724.0,54785.0,4.35013804,2024-08-05 01:37:00+00:00,54785.0,-93.0,-0.0016961057475174985,306.1972237472255,39.52989160759835,16.0,154.0,0.0058889924915345735,0.0275
1722821880,54772.0,54800.0,54679.0,54723.0,5.44211241,2024-08-05 01:38:00+00:00,54723.0,-62.0,-0.0011323374844694094,304.8738458189006,39.35904425169365,15.0,106.0,0.005948545085014624,0.0275
1722821940,54707.0,54722.0,54586.0,54722.0,1.86314863,2024-08-05 01:39:00+00:00,54722.0,-1.0,-1.8274018914171747e-05,304.2062539055603,39.272858506279334,0.0,137.0,0.005952380952380952,0.0275
1722822000,54722.0,54824.0,54644.0,54781.0,1.14388358,2024-08-05 01:40:00+00:00,54781.0,59.0,0.0010775961518734705,304.0909928309353,39.257978365529716,102.0,78.0,0.005966290458907175,0.0275
1722822060,54788.0,54811.0,54646.0,54691.0,1.14813985,2024-08-05 01:41:00+00:00,54691.0,-90.0,-0.001644256435925999,304.04219293503616,39.25167832605924,30.0,135.0,0.005971931919976112,0.0275
1722822120,54691.0,54891.0,54662.0,54864.0,1.57887872,2024-08-05 01:42:00+00:00,54864.0,173.0,0.0031582336506439544,305.1137585388727,39.39001685066016,200.0,29.0,0.005942064867541471,0.0275
1722822180,54862.0,54902.0,54718.0,54718.0,1.26563528,2024-08-05 01:43:00+00:00,54718.0,-146.0,-0.002664672781828713,305.46643920441727,39.43554772879961,38.0,146.0,0.005930611841454977,0.0275
1722822240,54712.0,55154.0,54712.0,55137.0,18.062703,2024-08-05 01:44:00+00:00,55137.0,419.0,0.00762827421271094,311.00723010107214,40.15086075771835,436.0,6.0,0.005834305717619603,0.0275
1722822300,55129.0,55140.0,54647.0,54679.0,4.39149746,2024-08-05 01:45:00+00:00,54679.0,-458.0,-0.00834127368531431,312.26645329446984,40.31342577295793,3.0,490.0,0.005789549862498191,0.027777777777777776
1722822360,54657.0,54791.0,54586.0,54786.0,3.3309035,2024-08-05 01:46:00+00:00,54786.0,107.0,0.001954963396125624,312.8323787192451,40.38648643113626,112.0,93.0,0.005758986418390363,0.027777777777777776
1722822420,54773.0,54854.0,54604.0,54612.0,2.63594507,2024-08-05 01:47:00+00:00,54612.0,-174.0,-0.0031810480397528964,312.5382051222169,40.34850878306345,68.0,182.0,0.005785641965189721,0.027777777777777776
1722822480,54613.0,54713.0,54602.0,54681.0,1.25969327,2024-08-05 01:48:00+00:00,54681.0,69.0,0.0012626610884009307,312.82129471853176,40.385055492797186,101.0,10.0,0.005786478927572572,0.027777777777777776
1722822540,54706.0,54821.0,54700.0,54782.0,1.74192275,2024-08-05 01:49:00+00:00,54782.0,101.0,0.0018453729326278908,312.1394896788119,40.297034840657346,140.0,0.0,0.005806919912896201,0.027777777777777776
1722822600,54741.0,54775.0,54692.0,54718.0,0.97149484,2024-08-05 01:50:00+00:00,54718.0,-64.0,-0.0011689499047981909,312.09991292808377,40.29192550410844,0.0,90.0,0.0058190282222868785,0.027777777777777776
1722822660,54712.0,54857.0,54548.0,54576.0,13.52854207,2024-08-05 01:51:00+00:00,54576.0,-142.0,-0.0025984972624459018,311.9154867972329,40.268116192995414,139.0,170.0,0.005795701521371649,0.028055555555555556
1722822720,54569.0,54865.0,54569.0,54864.0,0.48635021,2024-08-05 01:52:00+00:00,54864.0,288.0,0.005263170044274691,313.9526265138026,40.531109799534484,289.0,7.0,0.00578927055191046,0.028333333333333332
1722822780,54852.0,54866.0,54664.0,54664.0,0.62911574,2024-08-05 01:53:00+00:00,54664.0,-200.0,-0.0036520382420873903,314.529354705966,40.60556508898572,2.0,200.0,0.005766181346403344,0.02861111111111111
1722822840,54662.0,54805.0,54658.0,54710.0,3.37640288,2024-08-05 01:54:00+00:00,54710.0,46.0,0.0008411505972573099,313.8860902996751,40.52252001122664,141.0,6.0,0.005789549862498191,0.02861111111111111
1722822900,54711.0,54858.0,54711.0,54794.0,5.59319542,2024-08-05 01:55:00+00:00,54794.0,84.0,0.001534190832776702,312.93680658441923,40.39996801055957,148.0,0.0,0.005816489748436818,0.02861111111111111
1722822960,54784.0,54784.0,54704.0,54708.0,0.76550221,2024-08-05 01:56:00+00:00,54708.0,-86.0,-0.0015707478892066408,312.52126662100204,40.34632203195962,0.0,90.0,0.00586051963274077,0.028333333333333332
1722823020,54698.0,54769.0,54586.0,54586.0,0.79431238,2024-08-05 01:57:00+00:00,54586.0,-122.0,-0.002232511403585741,311.41389973659255,40.203361581910976,61.0,122.0,0.005919202880678736,0.028333333333333332
1722823080,54599.0,54700.0,54599.0,54697.0,0.27158231,2024-08-05 01:58:00+00:00,54697.0,111.0,0.0020314237012490953,310.6521639215676,40.105021911050926,114.0,0.0,0.00600630662195305,0.028333333333333332
1722823140,54694.0,54698.0,54342.0,54427.0,66.23640023,2024-08-05 01:59:00+00:00,54427.0,-270.0,-0.004948509053443133,311.891757896979,40.265052805145174,1.0,355.0,0.005971634735008708,0.02861111111111111
1722823200,54405.0,54565.0,54238.0,54487.0,9.07929091,2024-08-05 02:00:00+00:00,54487.0,60.0,0.0011017868422731067,311.8304855124258,40.25714257431328,138.0,189.0,0.005923585743903643,0.028888888888888888
1722823260,54475.0,54530.0,54453.0,54466.0,1.65001205,2024-08-05 02:01:00+00:00,54466.0,-21.0,-0.0003854873249942481,310.83209084739775,40.12825037729341,43.0,34.0,0.006010518407212622,0.029166666666666667
1722823320,54469.0,54469.0,54251.0,54251.0,4.92191187,2024-08-05 02:02:00+00:00,54251.0,-215.0,-0.003955228350400407,311.39028275155016,40.20031264225241,3.0,215.0,0.006029544769369913,0.029166666666666667
1722823380,54283.0,54382.0,54062.0,54062.0,21.63507721,2024-08-05 02:03:00+00:00,54062.0,-189.0,-0.00348988933598679,311.40748959566014,40.20253403627504,131.0,189.0,0.00599610253335332,0.029166666666666667
1722823440,54058.0,54101.0,53825.0,53825.0,3.01247771,2024-08-05 02:04:00+00:00,53825.0,-237.0,-0.0043934928439899115,312.52038803548976,40.34620860705772,39.0,237.0,0.005950314870828581,0.029166666666666667
1722823500,53823.0,54036.0,53817.0,53989.0,0.2970427,2024-08-05 02:05:00+00:00,53989.0,164.0,0.0030422788597265953,312.9083203578207,40.39629045451915,211.0,8.0,0.005966883794938094,0.029166666666666667
1722823560,54023.0,54208.0,54008.0,54019.0,3.18513436,2024-08-05 02:06:00+00:00,54019.0,30.0,0.0005555144206260245,309.8777465333872,40.00504505613639,219.0,0.0,0.006018657839301836,0.029166666666666667
1722823620,53935.0,54021.0,53847.0,54007.0,0.55686137,2024-08-05 02:07:00+00:00,54007.0,-12.0,-0.00022216873806972173,309.2901641658161,39.92918849866546,2.0,172.0,0.006067040800849386,0.029166666666666667
1722823680,53989.0,54346.0,53983.0,54277.0,1.65193057,2024-08-05 02:08:00+00:00,54277.0,270.0,0.004986896670891073,303.6111455194223,39.1960303439893,339.0,24.0,0.0061823802163833074,0.029166666666666667
1722823740,54311.0,54376.0,54257.0,54331.0,0.37670402,2024-08-05 02:09:00+00:00,54331.0,54.0,0.000994401967622188,302.83393064189914,39.09569233475358,99.0,20.0,0.006277792309704421,0.029444444444444443
1722823800,54320.0,54320.0,54090.0,54104.0,0.39078737,2024-08-05 02:10:00+00:00,54104.0,-227.0,-0.004186846158584091,246.62663001543112,31.839361026034098,0.0,241.0,0.006700541627114858,0.029166666666666667
1722823860,54111.0,54198.0,54085.0,54137.0,4.74465641,2024-08-05 02:11:00+00:00,54137.0,33.0,0.0006097504831337043,241.10271857437607,31.12622712546307,94.0,19.0,0.006904090673724181,0.029166666666666667
1722823920,54101.0,54101.0,53913.0,53913.0,13.8853457,2024-08-05 02:12:00+00:00,53913.0,-224.0,-0.004146234537777754,235.3357134448549,30.381709964658796,0.0,224.0,0.0070060719290051384,0.029166666666666667
1722823980,53915.0,53940.0,53682.0,53700.0,5.05936909,2024-08-05 02:13:00+00:00,53700.0,-213.0,-0.003958634703175802,237.07968814530153,30.606856130360026,27.0,231.0,0.007031112673580594,0.029166666666666667
1722824040,53714.0,53945.0,53662.0,53928.0,3.47302355,2024-08-05 02:14:00+00:00,53928.0,228.0,0.004236822036318807,231.33302907060855,29.864965633939438,245.0,38.0,0.007108162539983414,0.029166666666666667
1722824100,53928.0,54114.0,53853.0,54081.0,0.69255074,2024-08-05 02:15:00+00:00,54081.0,153.0,0.0028330991368726273,225.55367845461257,29.11885467768457,186.0,75.0,0.00732243104710764,0.029444444444444443
1722824160,54039.0,54039.0,53772.0,53772.0,3.51905552,2024-08-05 02:16:00+00:00,53772.0,-309.0,-0.005730037096004041,228.9531438753254,29.557723776365528,0.0,309.0,0.007311277645768598,0.029166666666666667
1722824220,53791.0,53835.0,53661.0,53725.0,29.02708779,2024-08-05 02:17:00+00:00,53725.0,-47.0,-0.0008744430634321743,228.9445174936396,29.556610115278627,63.0,111.0,0.007348888480617307,0.029166666666666667
1722824280,53704.0,53888.0,53704.0,53770.0,1.13311917,2024-08-05 02:18:00+00:00,53770.0,45.0,0.0008372482930125231,221.06712110555532,28.539642614527796,163.0,21.0,0.007493911197152314,0.029444444444444443
1722824340,53790.0,53890.0,53700.0,53700.0,2.06502965,2024-08-05 02:19:00+00:00,53700.0,-70.0,-0.0013026893067676815,215.90106543622505,27.872707695431245,120.0,70.0,0.007585335018963337,0.029722222222222223
1722824400,53715.0,53990.0,53674.0,53962.0,2.19909456,2024-08-05 02:20:00+00:00,53962.0,262.0,0.004867093630081156,213.4020131325839,27.55008143032113,290.0,26.0,0.007624372577673295,0.029722222222222223
1722824460,53933.0,54102.0,53853.0,54088.0,1.13400294,2024-08-05 02:21:00+00:00,54088.0,126.0,0.0023322546434766103,212.93844830927443,27.490235468968958,140.0,109.0,0.0076234038498189435,0.029722222222222223
1722824520,54098.0,54207.0,54098.0,54195.0,0.94990026,2024-08-05 02:22:00+00:00,54195.0,107.0,0.0019763034793364295,208.79944355078774,26.955892252319217,119.0,0.0,0.007774034724021768,0.029444444444444443
1722824580,54181.0,54261.0,54133.0,54261.0,0.59066731,2024-08-05 02:23:00+00:00,54261.0,66.0,0.0012170835757745915,208.94971349193457,26.975292018302458,66.0,62.0,0.007814535035165408,0.029444444444444443
